word,dog_score,cat_score,diff
moderated,0.0208,0.0,0.0208
good,0.0638,0.0441,0.0197
exhaustive,0.0187,0.0,0.0187
public,0.0158,0.0011,0.0147
foster,0.0364,0.0269,0.0095
great,0.0215,0.0124,0.0091
german,0.0095,0.0005,0.009
sweet,0.0284,0.0214,0.007
local,0.0219,0.0196,0.0023
happy,0.0213,0.0208,0.0005
sure,0.025,0.0248,0.0002
long,0.0165,0.0163,0.0002
bad,0.0202,0.0226,-0.0024
able,0.0185,0.0229,-0.0044
new,0.04,0.047,-0.007
old,0.0548,0.0628,-0.0081
available,0.0141,0.0234,-0.0093
wet,0.0023,0.0133,-0.011
little,0.0295,0.0416,-0.012
feral,0.0007,0.0147,-0.0141
